ids,x,y,z,fx,fy,fz,marker
29,0.1437231,1.6,-0.004297275,0.0001280928031393211,3.8818100465906014e-05,-0.0009786850445060648,Wing
30,0.1611073,1.6,-0.00196863,0.000571711449418929,0.00013200109403753682,-0.004142387801647115,Wing
31,0.175,1.55,0.0,0.01560585706669987,5.202776088299403e-06,-0.00285505154950653,Wing
32,0.1593634,1.546146,0.002208794,-0.0011688473295098296,1.1670136332145687e-06,-0.008514165954449485,Wing
33,0.1440743,1.54564,0.004251646,-0.0005159534145737492,1.6803334715416945e-06,-0.003966002996399994,Wing
34,0.1215983,1.548902,0.007062325,0.0001114181006779858,-1.553263779464412e-07,0.0009282993337187706,Wing
35,0.09534368,1.546855,0.01007579,0.00044240530480728644,-5.875989242407616e-07,0.004044738625915733,Wing
36,0.05718253,1.547141,0.01395196,0.0006821322303732832,-1.7084486606002974e-07,0.0073091665015034635,Wing
37,0.01784906,1.544109,0.01726726,0.001091232216169279,-1.7778109015286396e-07,0.0147198056405774,Wing
38,-0.03515773,1.548187,0.02030518,0.0007657822707708356,-1.8815568613748428e-06,0.020580810008033416,Wing
39,-0.08749337,1.546291,0.02079281,-0.0007936016630834777,-1.879457070148953e-05,0.03100427890728563,Wing
40,-0.1217536,1.54853,0.01878293,-0.0017416726543260446,-1.777252518360159e-05,0.01712047382892042,Wing
41,-0.1443001,1.54978,0.01561544,-0.002936447396603872,-3.8658761781847904e-05,0.015526093626629326,Wing
42,-0.1530839,1.550746,0.01367011,-0.0017457669836311446,-2.977586846960205e-05,0.00675855967831056,Wing
43,-0.1607591,1.54877,0.01138185,-0.008324498033178668,-0.000107375657291,0.02373771493933334,Wing
44,-0.1685398,1.550069,0.007951785,-0.001168673733349162,1.4745839581761705e-05,0.002099327584336602,Wing
45,-0.1720812,1.548324,0.005479165,-0.0011795201135529091,-3.753630017225105e-05,0.0012674320292083282,Wing
46,-0.1747363,1.549426,0.001594148,0.009507116968278235,0.00015815537296018237,-0.002679056859621608,Wing
47,-0.1742719,1.550562,-0.002695167,0.005325642421240743,4.265759292592169e-06,0.0024401210855649297,Wing
48,-0.171357,1.550646,-0.006095025,0.0005324821660400024,-8.867854576900508e-06,0.0006793486337000052,Wing
49,-0.1660883,1.548191,-0.009227363,-0.0016419324262140894,5.865877760759815e-06,-0.00354911232960019,Wing
50,-0.1590936,1.543874,-0.01194101,-0.0031174117708973044,-0.00010376695407721027,-0.009770302206209548,Wing
51,-0.1533858,1.54822,-0.01359234,-0.001481169815927857,-2.521515585600541e-06,-0.00575643052511944,Wing
52,-0.1435036,1.54823,-0.01576642,-0.0036193464976730953,-2.588718101222066e-05,-0.019494710551125508,Wing
53,-0.1200847,1.548779,-0.01894499,-0.0024866546445789293,-2.885504713490175e-05,-0.02617871563915926,Wing
54,-0.08993573,1.545504,-0.02072646,-0.000713029129625983,6.878675637891194e-07,-0.024179131248821418,Wing
55,-0.03798521,1.548146,-0.02040749,0.0007287918050099756,-7.685778925397954e-06,-0.02102232940561726,Wing
56,0.01914536,1.547749,-0.01717047,0.0010913757812797825,-3.1839910321918043e-06,-0.014536398086227956,Wing
57,0.06434714,1.548173,-0.01327078,0.0005994876431246081,1.4104931556752658e-06,-0.00619519876039962,Wing
58,0.09428032,1.548883,-0.01019191,0.0005311591747052262,3.859460908485833e-07,-0.004876430917925322,Wing
59,0.1199287,1.547149,-0.007262431,0.00013388556918575252,3.669683197503426e-08,-0.0011203736803812763,Wing
60,0.1453087,1.548009,-0.004090783,-0.0009549245170916104,1.9270345466669128e-07,0.007312570851449317,Wing
61,0.1601419,1.547972,-0.002101768,-0.0011278287819865085,-2.720611343358607e-08,0.008189982614252208,Wing
62,0.175,1.5,0.0,0.01053596293476378,-1.7356744738681004e-06,-0.009637714369616468,Wing
63,0.156574,1.501057,0.002589826,-0.002403361827629672,-1.1150924288322507e-06,-0.017712413243733363,Wing
64,0.1385074,1.500012,0.004968509,-0.0005016225091568888,3.1044663980011417e-07,-0.003941229663139125,Wing
65,0.1189259,1.500427,0.00738207,0.0003396467731901833,1.0504078430314222e-07,0.0028586790069431577,Wing
66,0.09611536,1.493347,0.009991236,0.0009580294567955894,-3.703558497539048e-06,0.008755430536040795,Wing
67,0.05791923,1.493233,0.01388295,0.001949700500059225,-2.385760151889694e-05,0.02088088340170889,Wing
68,0.01566231,1.493602,0.01742843,0.0027858950325374988,-5.481656272803821e-05,0.03832260658205846,Wing
69,-0.03024447,1.491639,0.02011079,0.001964944687850795,-7.480697598804726e-05,0.047070158426805925,Wing
70,-0.08740963,1.497361,0.02079491,-0.0007958102025316688,-2.452784808391811e-05,0.03138481110137835,Wing
71,-0.1204439,1.489771,0.01891078,-0.004131502667592914,-3.710092177749933e-05,0.0436709433009141,Wing
72,-0.1360531,1.495273,0.01701879,-0.004418805868928623,7.289087509365078e-05,0.029648008813255824,Wing
73,-0.1501812,1.494791,0.01437705,-0.005031869189594601,2.764341753069893e-05,0.022156715861865427,Wing
74,-0.1592333,1.499645,0.01189561,-0.007049508879535565,0.0001031038296494004,0.021825811534461153,Wing
75,-0.1681343,1.500705,0.008179528,-0.0016554639165279879,4.082965797902884e-06,0.003104917457799979,Wing
76,-0.1721456,1.498815,0.005419806,-0.0005465878335540903,-1.1523817015015602e-05,0.0005855720811332876,Wing
77,-0.1747224,1.49955,0.001636853,0.010671581662702724,5.2675832703334074e-05,-0.003104338473489955,Wing
78,-0.1742616,1.50007,-0.002714999,0.003319638502843699,-1.9706173907323286e-05,0.0015337520937500075,Wing
